,Data Cloud All Accounts

,BU ,ANZ,,Snapshot
,OU,*,,# of accounts,304
,AOV Band,"01. >25M, 02. 10M-25M, 03. 5M-10M, 04. 1M-5M, 05. 500K-1M, 06. 100K-500K, 10. <1K, 09. 1K-10K, 08. 10K-50K, 07. 50K-100K",,AOV ($),28M
,Success Plan,*,,DS allowance,31B
,CL Influence,*
,FDE Covered,*
,,ACCT_NM,CY_DATACLOUD_AOV,CY_DATACLOUD_ACV,CY_DATACLOUD_OP,CY_DATACLOUD_PG,ORG62_SUPPORT_LEVEL,CL,ALL ENT_END_DT

,Data refreshed as of: 1/12,,,,,,,,,,DATA SERVICE CREDITS
,OU,# of Accounts,DC AOV,DC ACV,DC OP,DC PG,Success Plan,CL,Months to Renew,,Current ,,,,Prior Quarter,,,Q/Q Change,,Current
,,,,,,,,,,,Allowance,Proj. Use,Actual Used,Usage %,PQ - Allowance,PQ - Actual Used,PQ Usage,Usage ($),Usage (%),CRR
,00130000016gUxwAAE,ClearView Administration Services Pty Ltd,0.0M,0.0M,−,0.0M,Premier,,56,,53M,3M,−,0%,53M,−,0%,–,-,0%
,0013000000hLcI1AAK,Canterbury Bankstown Bulldogs Rugby League Club Limited,0.0M,0.1M,−,0.1M,Premier,Elspeth Vu-Doan,34,,32M,5M,0M,1%,4M,1M,22%,-1M,-76%,4%
,0013000000K88w0AAB,Prime Financial Group,0.0M,0.1M,,0.1M,Basic,,33,,3M,0M,−,0%,−,−,-,–,-,0%
,0013y00001cZoLAAA0,Outdoor Adventure Operations Pty Ltd,0.0M,−,,−,Basic,,22,,30M,11M,−,0%,30M,−,0%,–,-,0%
,0010M00001c5LuLQAU,Seqirus (Australia) Pty Ltd,0.0M,0.0M,−,0.0M,Basic,,27,,31M,8M,0M,0%,31M,0M,0%,+0M,+16%,0%
,0010M00001QqcloQAB,Deloitte Digital AU (Soda Strategic),0.0M,0.0M,,0.0M,Basic,,11,,11M,2M,0M,0%,0M,0M,0%,-0M,-50%,0%
,0013000000E3nPXAAZ,HiPages Group Pty Ltd,0.0M,0.0M,−,0.0M,Premier,,5,,26M,20M,5M,21%,26M,5M,18%,+1M,+14%,27%
,0013000001Jz3QjAAJ,Little Company of Mary Healthcare Limited,0.0M,0.0M,−,−,Signature,,36,,50M,19M,−,0%,50M,−,0%,–,-,0%
,001ed00000D9V1vAAF,AusNet Electricity Services Pty Ltd,0.0M,0.0M,,0.0M,Premier,,57,,11M,0M,−,0%,19M,0M,0%,-0M,-100%,0%
,001ed00000D9YB3AAN,AusNet Electricity Services Pty Ltd,0.0M,0.0M,,0.0M,Premier,,57,,11M,0M,−,0%,−,−,-,–,-,0%
,0013y00001g6SyXAAU,AusNet Electricity Services Pty Ltd,0.0M,0.0M,,0.0M,Premier,,57,,11M,0M,−,0%,−,−,-,–,-,0%
,0013000000D88PtAAJ,AUSTRALIAN HEALTH & NUTRITION ASSOCIATION LIMITED,0.0M,−,−,−,Premier,,8,,10M,3M,−,0%,10M,−,0%,–,-,0%
,0013000000hJyLWAA0,Retire Australia Management Pty Ltd,0.0M,−,,−,Basic,,-,,−,−,−,-,−,−,-,–,-,-
,0013000000IUP7HAAX,Avis Budget Group Australia,0.0M,0.1M,−,0.1M,Premier,,23,,20M,0M,−,0%,−,−,-,–,-,0%
,0013y00001cSVkJAAW,Mediaworks Holdings Limited,0.0M,−,,−,Basic,,1,,15M,14M,6M,37%,15M,5M,31%,+1M,+22%,42%
,0013000000ZkqurAAB,The Gamesmen,0.0M,−,,−,Premier,,9,,30M,22M,−,0%,30M,−,0%,–,-,0%
,0010M00001WIEisQAH,L1 Capital,0.0M,−,0.0M,0.0M,Basic,,23,,33M,11M,0M,0%,33M,0M,0%,+0M,+2%,1%
,0013000001FixYRAAZ,House of Travel Holdings,0.0M,0.0M,−,0.0M,Premier,,9,,10M,2M,−,0%,−,−,-,–,-,0%
,0010M00001YtszSQAR,SEEK Limited,0.0M,−,−,−,Premier,,24,,21M,7M,0M,1%,21M,0M,0%,+0M,+20453%,3%
,0013000000RYOrKAAX,IQumulate Premium Funding,0.0M,0.0M,,0.0M,Premier,,30,,30M,5M,0M,0%,30M,−,0%,+0M,-,0%
,001ed000006sZWnAAM,Transurban Limited,0.0M,0.0M,−,0.1M,Premier,,33,,32M,2M,−,0%,10M,0M,0%,-0M,-100%,0%
,0013y00001fbcIJAAY,Healthyworld Pharmacy,0.0M,−,−,−,Basic,,20,,40M,23M,−,0%,40M,−,0%,–,-,0%
,0010M00001SJK8DQAX,Foxtel Management Pty Limited,0.0M,0.0M,−,0.1M,Premier,,14,,8M,5M,8M,99%,1M,8M,807%,–,–,162%
,0013y00001dW6KbAAK,Levande Pty Ltd,0.0M,0.0M,−,0.1M,Premier,,7,,10M,4M,0M,0%,10M,0M,0%,+0M,+114%,1%
,00130000016gXu8AAE,Central SEQ Distributor-Retailer Authority trading as Urban Utilities,0.0M,−,−,−,Premier,,40,,31M,2M,−,0%,8M,0M,0%,-0M,-100%,0%
,0013000000I4QfTAAV,SAE Institute Pty Limited,0.0M,−,−,−,Basic,,3,,10M,9M,1M,13%,10M,1M,11%,+0M,+20%,14%
,0010M00001Z06tqQAB,Amused Group,0.0M,-0.0M,−,−,Premier,,5,,10M,6M,0M,0%,10M,0M,0%,+0M,+0%,0%
,00130000016gUwjAAE,BANK OF SYDNEY LTD,0.0M,0.1M,0.0M,0.2M,Basic,,12,,1M,0M,0M,19%,1M,0M,29%,+0M,+15%,59%
,0013y00001fohJVAAY,Cornerstone Health Pty Limited,0.0M,−,,−,Basic,,47,,70M,14M,7M,10%,70M,6M,8%,+1M,+16%,48%
,0013000000RZCavAAH,Aussie Broadband (Main org),0.0M,0.0M,−,0.0M,Premier,,9,,0M,0M,−,0%,−,−,-,–,-,0%
,0013000001CCCa0AAH,Apex Advice Group,0.0M,−,−,−,Basic,,29,,40M,16M,0M,1%,40M,0M,0%,+0M,+73%,2%
,0013y00001f6L6fAAE,Simon Curwood Jewellers,0.0M,0.0M,,0.0M,Basic,,15,,21M,7M,−,0%,21M,−,0%,–,-,0%
,0013y00001fOCrbAAG,Matt Fiddes Martial Arts,0.0M,−,,−,Basic,,-,,−,−,−,-,−,−,-,–,-,-
,0013000000Cto1QAAR,Carsales AU,0.0M,−,−,0.1M,Premier,,22,,17M,6M,0M,0%,17M,0M,0%,+0M,+0%,0%
,00130000016gfd5AAA,Flight Centre Travel Group Limited,0.0M,−,−,−,Premier,,47,,51M,11M,7M,15%,51M,7M,14%,+0M,+7%,68%
,0013000001GVczvAAD,ENTAIN GROUP PTY LTD,0.0M,0.0M,−,0.1M,Signature,,15,,23M,15M,−,0%,23M,−,0%,–,-,0%
,0013000000hIWOmAAO,ABN Group,0.0M,−,,−,Basic,,27,,33M,8M,−,0%,33M,−,0%,–,-,0%
,0013000001CCYfjAAH,Zagame Automotive Group Pty Ltd,0.0M,−,−,−,Basic,,21,,30M,12M,0M,0%,30M,0M,0%,–,–,0%
,001ed0000099VkDAAU,FITNESS AND LIFESTYLE GROUP,0.0M,0.0M,0.0M,0.1M,Premier,Cameron Robert,50,,51M,8M,0M,0%,51M,0M,0%,+0M,+212%,0%
,0010M00001NYuKEQA1,Ready Media (TA Development Ready),0.0M,0.0M,,0.0M,Basic,,6,,19M,9M,3M,14%,19M,1M,7%,+1M,+109%,31%
,0010M00001cHT7YQAW,NSW Electricity Networks Operations Pty Limited (TRANSGRID),0.0M,−,−,−,Basic,,-,,−,−,−,-,−,−,-,–,-,-
,0013000000IkkfRAAR,Rawson Group PTY Limited,0.0M,0.0M,,0.0M,Basic,,31,,14M,2M,0M,1%,14M,0M,1%,+0M,+45%,6%
,0013000000M2ikwAAB,MARLAU NOMINEES PTY. LTD.,0.0M,0.0M,−,0.0M,Premier,,41,,174M,53M,59M,34%,174M,59M,34%,+0M,+0%,113%
,0013000000JhngnAAB,The Registered Clubs Association Of New South Wales,0.0M,0.0M,,0.0M,Premier,,27,,28M,5M,0M,0%,28M,0M,0%,+0M,+10%,0%
,0013000000ITiYqAAL,Experience Australia Group Pty Ltd,0.0M,0.0M,−,0.0M,Premier,,34,,18M,6M,1M,5%,1M,0M,43%,+0M,+68%,12%
,0013000000rqT7YAAU,Fan Technologies Pty Ltd,0.0M,−,,−,Basic,,0,,10M,10M,0M,1%,10M,0M,1%,–,–,1%
,0010M00001XyDstQAF,Scape Australia Management Pty Ltd,0.0M,0.0M,−,0.0M,Premier,Elspeth Vu-Doan,13,,7M,4M,0M,4%,7M,0M,4%,+0M,+1%,7%
,0010M00001NYcUrQAL,Prince Wine Store,0.0M,0.0M,,0.0M,Basic,,12,,10M,5M,1M,10%,10M,1M,8%,+0M,+25%,18%
,00130000005whblAAA,JLF Corporation Pty Limited,0.0M,0.0M,,0.0M,Premier,,5,,3M,2M,0M,4%,3M,0M,0%,+0M,+572135200%,5%
,0010M00001QqsjLQAR,Monarch Institute,0.0M,−,−,−,Basic,,-,,11M,−,−,0%,11M,−,0%,–,-,-
,0013y00001f651YAAQ,El Jannah,0.0M,−,−,0.0M,Premier,,28,,17M,8M,6M,36%,17M,2M,10%,+4M,+249%,81%
,0013000001LWxPCAA1,Taking Shape,0.0M,0.0M,−,0.0M,Premier,,26,,33M,9M,0M,0%,33M,0M,0%,–,–,0%
,0010M00001QmSC5QAN,News Corp Australia Pty Ltd,0.0M,0.0M,−,0.0M,Premier,,0,,51M,46M,144M,283%,51M,142M,277%,+3M,+2%,311%
,0013000001IgKXvAAN,Australian College of the Arts Pty Ltd,0.0M,−,,−,Premier,,8,,18M,15M,0M,0%,18M,0M,0%,–,–,0%
,0013000000IkkfVAAR,Rugby Australia Limited,0.0M,−,0.0M,0.0M,Basic,,-,,10M,−,0M,0%,10M,0M,0%,+0M,+33%,-
,0013000000I3zExAAJ,Legend Corporate Services Limited,0.0M,0.0M,−,0.0M,Premier,,32,,11M,2M,0M,0%,11M,0M,0%,+0M,+634%,3%
,0013y00001cIygmAAC,OSINT Combine,0.0M,0.0M,0.0M,0.1M,Basic,,23,,3M,2M,0M,0%,−,−,-,+0M,-,0%
,0013y00001h2vnVAAQ,Farm Focus Limited,0.0M,−,−,−,Premier,,21,,10M,3M,−,0%,9M,0M,1%,-0M,-100%,0%
,0013y00001eqPSpAAM,Medibank Private Limited,0.0M,0.0M,,−,Premier,,2,,13M,11M,−,0%,13M,−,0%,–,-,0%
,0010M00001WI71XQAT,Avance Clinical Pty Ltd,0.0M,−,−,−,Premier,,12,,20M,10M,0M,0%,20M,0M,0%,–,–,0%
,00130000016hNd8AAE,Australian Unity Group Services Pty Ltd,0.0M,−,−,−,Premier,,4,,10M,6M,−,0%,10M,−,0%,–,-,0%
,0013000000I58gGAAR,Ego Pharmaceuticals Pty Ltd,0.0M,0.0M,−,0.0M,Premier,,27,,36M,8M,0M,0%,36M,0M,0%,+0M,+37%,0%
,0010M00001Sejq2QAB,Australian Racing Drivers' Club,0.0M,0.0M,,0.0M,Basic,,19,,2M,0M,−,0%,2M,−,0%,–,-,0%
,0010M00001W8V69QAF,Smart Legal Services Pty Ltd (ABN 68 116 871 795) T/A Agence de Parfum,0.0M,0.0M,,0.1M,Basic,,22,,7M,0M,−,0%,−,−,-,–,-,0%
,0013000001MrkKJAAZ,The Money Lab (Expert Finance Group),0.0M,0.0M,−,0.0M,Basic,,7,,2M,1M,−,0%,−,−,-,–,-,0%
,001ed00000VJ7vBAAT,Five V Capital (FSC on Platform Org),0.0M,0.0M,−,0.0M,Premier,,25,,26M,5M,−,0%,26M,−,0%,–,-,0%
,0013y00001f61wsAAA,TSA Outdoors,0.0M,0.0M,−,0.0M,Premier,,52,,20M,2M,0M,0%,20M,0M,0%,+0M,+1%,0%
,00130000016j9DgAAI,IVE Group Limited (Marketing Cloud Org),0.0M,0.0M,,0.0M,Basic,,32,,10M,1M,−,0%,10M,−,0%,–,-,0%
,0013y00001Z0iR1AAJ,CMAX Clinical Research Pty Ltd,0.0M,−,−,−,Premier,,5,,14M,12M,0M,0%,14M,0M,0%,+0M,+450%,0%
,0010M00001QkqvTQAR,Australian Rugby League Commission Limited,0.0M,0.0M,,0.0M,Premier,,10,,2M,0M,−,0%,0M,−,0%,–,-,0%
,0013000000I3zENAAZ,IRESS Limited,0.0M,−,−,−,Signature,,35,,16M,7M,0M,0%,16M,0M,0%,+0M,+1%,0%
,0013y00001dkAS4AAM,Davey Water Products,0.0M,0.0M,−,0.0M,Basic,Elspeth Vu-Doan,54,,13M,1M,0M,0%,13M,0M,0%,+0M,+2801343%,0%
,0013y00001h7XEFAA2,McPhersons Consumer Products Pty Ltd,0.0M,0.0M,−,0.0M,Signature,,36,,40M,11M,0M,0%,40M,0M,0%,+0M,+1%,0%
,0013000000rqXZjAAM,Online Education Services Pty Ltd,0.0M,0.0M,0.0M,0.0M,Premier,,17,,2M,1M,−,0%,−,−,-,–,-,0%
,0013000000hJdhBAAS,WesTrac Group,0.0M,0.0M,−,−,Basic,,25,,30M,9M,0M,0%,30M,0M,0%,+0M,+93%,0%
,0013000001CCv4iAAD,GEOCON GROUP PTY LTD,0.0M,−,−,−,Premier,,32,,39M,18M,0M,0%,39M,0M,0%,+0M,+6%,0%
,0013y00001eES8rAAG,Expert Edge Pty Ltd,0.0M,−,,0.0M,Premier,,12,,7M,5M,0M,0%,7M,0M,0%,+0M,+14%,0%
,0013000000NSSonAAH,Chubb Life Insurance New Zealand Limited,0.0M,−,0.0M,0.0M,Premier,,1,,13M,11M,0M,0%,13M,0M,0%,–,–,0%
,0013000000rpONKAA2,Invest Blue PTY LTD,0.0M,0.0M,−,0.0M,Premier,,28,,3M,1M,1M,19%,3M,1M,15%,+0M,+32%,47%
,0010M00001Qk8bpQAB,AMP Services Limited,0.0M,0.0M,−,0.0M,Signature,Katie Dale,17,,3M,1M,−,0%,−,−,-,–,-,0%
,0013y00001beD75AAE,CIMET (eCONNEX),0.0M,0.0M,−,0.0M,Basic,,48,,50M,9M,0M,0%,50M,0M,0%,–,–,0%
,0010M00001SICuVQAX,VentureCrowd,0.0M,0.0M,−,0.0M,Premier,,22,,8M,3M,0M,1%,3M,0M,8%,-0M,-69%,3%
,0010M00001V48M1QAJ,Mazda New Zealand,0.0M,−,−,−,Premier,,6,,3M,2M,1M,49%,3M,1M,34%,+0M,+44%,67%
,0013000001LWzB6AAL,Kogan Australia Pty Ltd,0.0M,0.0M,−,0.1M,Signature,Cameron Robert,22,,7M,0M,0M,4%,8M,3M,39%,-3M,-90%,83%
,0013y00001d1gsIAAQ,SomnoMed Limited,0.0M,0.0M,−,0.0M,Premier,,10,,3M,2M,0M,5%,3M,0M,0%,+0M,+1113311%,8%
,0010M00001Y5SVIQA3,Adventure Operations,0.0M,0.0M,0.0M,0.0M,Basic,,9,,2M,1M,0M,3%,2M,0M,0%,+0M,+4692%,7%
,0013000001CCComAAH,NH Foods Australia Pty Ltd,0.0M,0.0M,−,−,Premier,,3,,10M,7M,−,0%,10M,−,0%,–,-,0%
,0010M00001SJLc4QAH,Origin Energy Services Ltd,0.0M,0.0M,,0.0M,Basic,,15,,20M,7M,−,0%,20M,−,0%,–,-,0%
,0010M00001SHxB5QAL,Lumary Pty Ltd,0.0M,−,,−,Premier,,0,,10M,10M,0M,0%,10M,0M,0%,+0M,+19%,0%
,00130000004vJLWAA2,Big Red Group Pty Ltd,0.0M,0.0M,−,0.0M,Premier,,10,,2M,1M,−,0%,1M,−,0%,–,-,0%
,0013y00001cCg92AAC,Dental Boutique,0.0M,0.0M,−,0.0M,Basic,,23,,3M,1M,−,0%,3M,−,0%,–,-,0%
,00130000002xRsgAAE,Castle Hill RSL Club Ltd,0.0M,0.0M,,0.0M,Basic,,11,,2M,0M,−,0%,−,−,-,–,-,0%
,0013y00001eMN9WAAW,My Digital Health,0.0M,0.0M,−,0.0M,Basic,,8,,2M,0M,0M,0%,2M,−,0%,+0M,-,0%
,0010M00001QaRNvQAN,Console Australia Pty Ltd / Reapit Australia,0.0M,0.0M,0.0M,−,Premier,,13,,2M,1M,0M,2%,2M,0M,1%,+0M,+118%,4%
,0013y00001fvAe3AAE,Learning Online Pty Ltd 2nd org,0.0M,0.0M,,-0.0M,Premier,,78,,8M,1M,0M,0%,8M,0M,0%,+0M,+60%,0%
,0013000000ITWmEAAX,Technology One Limited,0.0M,0.0M,−,0.0M,Premier,,21,,1M,0M,0M,0%,−,−,-,+0M,-,0%
,001ed000003QAQDAA4,Fonterra Ingredients,0.0M,0.0M,−,0.3M,Premier,,6,,2M,2M,0M,1%,2M,0M,1%,+0M,+11%,1%
,0013000000rr1YNAAY,Team Global Express Pty Ltd,0.0M,0.0M,−,0.3M,Premier,,30,,3M,0M,−,0%,3M,−,0%,–,-,0%
,0013000001L5xJpAAJ,GlobeNet Travel*,0.0M,0.0M,,0.0M,Premier,,10,,2M,0M,−,0%,−,−,-,–,-,0%
,0010M00001QaQ3aQAF,Auger Torque,0.0M,−,−,0.0M,Basic,,33,,4M,0M,0M,0%,4M,0M,0%,+0M,+92%,0%
,001ed00000kjCSNAA2,Nucleus Network UK,0.0M,0.0M,,0.0M,Basic,,34,,5M,0M,−,0%,−,−,-,–,-,0%
,0013000001J7KrGAAV,EDEN BRAE HOLDINGS PTY LIMITED,0.0M,0.0M,0.0M,0.0M,Basic,,28,,3M,2M,−,0%,3M,−,0%,–,-,0%
,0013000001Kb9KUAAZ,Dubber Corporation,0.0M,−,,−,Basic,,12,,1M,0M,0M,0%,1M,0M,2%,-0M,-99%,0%
,0013y00001h1xwqAAA,GO Markets AUS Pty Ltd (2nd Org),0.0M,0.0M,,0.0M,Basic,,19,,1M,1M,−,0%,−,−,-,–,-,0%
,00130000002xRpDAAU,Veolia Environmental Services (Australia) Pty Ltd,0.0M,0.0M,−,0.1M,Premier,,12,,1M,0M,0M,0%,1M,0M,0%,+0M,+7%,0%
,001200000007NAQAA2,SUMMIT AUTO LEASE AUSTRALIA PTY LIMITED,0.0M,0.0M,,0.0M,Premier,,54,,6M,1M,0M,0%,6M,0M,0%,+0M,+3%,1%
,0010M00001QmX3SQAV,Direct Response Finance Pty Ltd,0.0M,0.0M,,0.0M,Basic,,8,,1M,0M,0M,1%,1M,0M,0%,+0M,+4276422%,2%
,0010M00001SIRYbQAP,Genetic Signatures,0.0M,0.0M,,0.0M,Basic,,-,,0M,−,0M,0%,0M,0M,0%,+0M,+100%,-
,0013000000Gqno4AAB,Australian Football League (HQ),0.0M,0.0M,0.1M,0.2M,Premier,,57,,7M,0M,0M,0%,2M,1M,54%,-1M,-100%,0%
,001ed00000s9YxvAAE,Woolworths New Zealand Limited (DC),0.0M,0.0M,,0.1M,Basic,,22,,3M,0M,−,0%,−,−,-,–,-,0%
,0010M00001QnXunQAF,Implemented Portfolios Pty Ltd,0.0M,0.0M,,0.0M,Basic,,34,,3M,0M,0M,0%,−,−,-,+0M,-,3%
,0010M00001QkceJQAR,Foodstuffs North Island Limited (Retail),0.0M,0.0M,−,0.0M,Premier,,30,,2M,0M,0M,0%,2M,0M,0%,+0M,+11%,0%
,0013000000FL0jxAAD,Foodstuffs North Island Limited,0.0M,0.0M,−,0.0M,Premier,,30,,2M,0M,0M,0%,2M,0M,0%,+0M,+41%,0%
,0013000000RZxnHAAT,2cloudnine Pty Ltd*,0.0M,0.0M,−,0.0M,Basic,,20,,2M,0M,0M,8%,2M,0M,6%,+0M,+42%,52%
,0013000000Ikl95AAB,HALAS DENTAL PTY LTD,0.0M,−,−,−,Premier,,2,,0M,0M,0M,0%,0M,0M,0%,+0M,+5%,0%
,0013000000Ikl6zAAB,Daikin Australia Pty Ltd,0.0M,0.0M,−,0.1M,Basic,,26,,1M,0M,−,0%,1M,−,0%,–,-,0%
,0013y00001eK4xmAAC,Australian Football League (FRE),0.0M,0.0M,−,0.0M,Premier,,57,,3M,0M,0M,1%,1M,0M,18%,-0M,-73%,24%
,0013y00001bebDdAAI,Australian Football League (GWS),0.0M,0.0M,−,0.0M,Premier,,57,,3M,0M,0M,1%,1M,0M,13%,-0M,-54%,30%
,0013y00001bebD9AAI,Australian Football League (BNE),0.0M,−,−,−,Premier,,57,,3M,0M,0M,1%,1M,0M,20%,-0M,-69%,33%
,0013y00001bebDJAAY,Australian Football League (STK),0.0M,0.0M,−,0.0M,Premier,,57,,3M,0M,0M,1%,1M,0M,15%,-0M,-72%,20%
,0013y00001eK4xhAAC,Australian Football League (SWNS),0.0M,−,−,−,Premier,,57,,3M,0M,0M,3%,1M,0M,25%,-0M,-46%,66%
,0013y00001bebE2AAI,Australian Football League (WBD),0.0M,0.0M,−,0.0M,Premier,,57,,3M,0M,0M,1%,1M,0M,17%,-0M,-67%,31%
,0013y00001bebDOAAY,Australian Football League (GCS),0.0M,0.0M,,0.0M,Premier,,57,,3M,0M,0M,1%,1M,0M,8%,-0M,-59%,16%
,0013y00001bebDZAAY,Australian Football League (PORT),0.0M,0.0M,,0.0M,Premier,,57,,3M,0M,0M,1%,1M,0M,17%,-0M,-60%,33%
,0013y00001eK4xDAAS,Australian Football League (ESS),0.0M,−,,−,Premier,,57,,3M,0M,0M,1%,1M,0M,25%,-0M,-74%,31%
,0013y00001bebDYAAY,Australian Football League (GLG),0.0M,−,,−,Premier,,57,,3M,0M,0M,2%,1M,0M,29%,-0M,-71%,41%
,001ed00000JE3pVAAT,Hewitt & Whitty,0.0M,0.0M,,0.0M,Basic,,52,,4M,0M,0M,1%,4M,0M,0%,+0M,+105%,7%
,0013y00001Xz1rbAAB,Hair Doctors,0.0M,0.0M,−,0.0M,Basic,,21,,1M,0M,−,0%,−,−,-,–,-,0%
,0013000000IklLMAAZ,Dahlsens Building Centres,0.0M,0.0M,−,0.0M,Premier,,22,,2M,1M,0M,4%,2M,0M,4%,+0M,+3%,10%
,001ed00000W9YUhAAN,Pivot Property Buyers,0.0M,0.0M,,0.0M,Basic,,17,,1M,0M,−,0%,1M,−,0%,–,-,0%
,00130000005GA7mAAG,MA Money Financial Services Pty Ltd,0.0M,0.0M,−,0.0M,Basic,,7,,0M,0M,−,0%,0M,−,0%,–,-,0%
,00130000016hGMxAAM,Matrix Education (and tripbookr),0.0M,0.0M,−,0.0M,Premier,Elspeth Vu-Doan,57,,5M,0M,0M,0%,−,−,-,+0M,-,0%
,001ed00000THOJmAAP,Corient,0.0M,0.0M,,0.0M,Basic,,13,,1M,0M,0M,0%,−,−,-,+0M,-,0%
,0013y00001cSM8GAAW,Flight Centre Travel Group Limited,0.0M,0.0M,−,0.1M,Signature,,47,,4M,1M,1M,22%,4M,1M,14%,+0M,+49%,100%
,0010M00001Sel1zQAB,Ennovative Pty Ltd - ISV Edition,0.0M,0.0M,,0.0M,Premier,,7,,3M,1M,5M,183%,3M,4M,150%,+1M,+22%,490%
,0010M00001WI0ICQA1,TeamMed,0.0M,−,−,−,Premier,,19,,11M,6M,0M,3%,11M,0M,4%,+0M,+0%,7%
,0013y00001cs2dZAAQ,JustFund,0.0M,0.0M,−,0.0M,Basic,,0,,0M,0M,0M,0%,0M,0M,0%,–,–,0%
,0013000000rq6Q5AAI,PRP Diagnostic Imaging Pty Ltd,0.0M,0.0M,−,0.0M,Premier,Elspeth Vu-Doan,29,,8M,1M,0M,0%,8M,0M,0%,+0M,+91%,1%
,0013000000JjhM5AAJ,WTP Australia Pty Ltd,0.0M,−,−,0.1M,Basic,,27,,1M,0M,0M,0%,1M,0M,0%,+0M,+47%,0%
,001ed00000fV8ktAAC,Australian Football League (TAS),0.0M,0.0M,−,0.0M,Premier,,57,,2M,0M,−,0%,−,−,-,–,-,0%
,0013000000rq0OLAAY,One Partner Limited,0.0M,0.0M,−,0.0M,Premier,,8,,1M,0M,0M,0%,1M,0M,0%,+0M,+259%,0%
,0013y00001cZeNlAAK,Police & Nurses Limited,0.0M,0.0M,−,0.0M,Premier,,9,,1M,1M,0M,0%,1M,0M,0%,+0M,+38%,0%
,00130000002xL3MAAU,Foodstuffs North Island Limited (Supply Chain),0.0M,0.0M,−,0.0M,Basic,,30,,1M,0M,−,0%,1M,−,0%,–,-,0%
,0013y00001caupCAAQ,Foodstuffs North Island Limited,0.0M,0.0M,,0.0M,Basic,,30,,1M,0M,−,0%,1M,−,0%,–,-,0%
,0013y00001dkEZTAA2,Foodstuffs North Island Limited PM,0.0M,0.0M,−,0.0M,Basic,,30,,1M,0M,−,0%,1M,−,0%,–,-,0%
,0010M00001WJiA5QAL,ASB Bank Limited,0.0M,0.0M,−,0.5M,Premier,,17,,1M,0M,−,0%,1M,−,0%,–,-,0%
,0013000000AbbTGAAZ,Reece Australia Pty LTD,0.0M,0.0M,−,0.0M,Premier,,12,,1M,0M,0M,0%,1M,0M,0%,+0M,+4%,0%
,0010M00001SmrNnQAJ,Integrated Control Technology Ltd,0.0M,0.0M,−,0.1M,Premier,,21,,1M,0M,0M,0%,−,−,-,+0M,-,0%
,0013y00001fodcrAAA,New Zealand Bullion Depository LP,0.0M,0.0M,,0.0M,Basic,,3,,0M,0M,0M,0%,0M,0M,0%,–,–,0%
,001ed00000RYbvFAAT,Bitpet Technology Pty Ltd,0.0M,0.0M,,0.0M,Basic,,5,,1M,0M,0M,0%,1M,0M,0%,+0M,+193860%,0%
,001ed00000QfNTAAA3,Giveaway Girls PTY LTD,0.0M,0.0M,,0.0M,Premier,,78,,3M,0M,−,0%,3M,−,0%,–,-,0%
,001ed00000QfqlJAAR,Golden Touch Jewellery,0.0M,0.0M,,0.0M,Premier,,78,,3M,0M,−,0%,3M,−,0%,–,-,0%
,0013000000ZlqvwAAB,Kudosity,0.0M,−,,0.0M,Basic,,21,,1M,0M,1M,97%,1M,0M,44%,+1M,+120%,240%
,0010M00001WkO6fQAF,Chorus NZ Limited,0.0M,0.0M,−,0.1M,Premier,,32,,1M,0M,0M,0%,1M,0M,0%,+0M,+1493%,0%
,00130000002xRp7AAE,Norths Collective,0.0M,−,,0.1M,Basic,,18,,1M,0M,0M,0%,1M,0M,0%,+0M,+21%,1%
,0013000000hKDuQAAW,HUB24 Management Services Pty Ltd,0.0M,0.0M,−,0.0M,Basic,,7,,0M,0M,0M,1%,0M,−,0%,+0M,-,1%
,0013000000IkksBAAR,Jani-King (Australia) Pty Ltd,0.0M,−,−,−,Basic,,41,,2M,0M,0M,0%,2M,0M,0%,+0M,+4%,1%
,00130000016hY0VAAU,Pushpay Holdings Limited,0.0M,−,,−,Premier,Cameron Robert,24,,4M,2M,0M,4%,4M,0M,2%,+0M,+104%,9%
,0013y00001d22xLAAQ,ARZO,0.0M,−,,−,Basic,,7,,1M,1M,0M,0%,1M,0M,0%,+0M,+24%,0%
,0013000000Ikkt6AAB,Australian Hotels Association,0.0M,0.0M,,0.0M,Premier,,34,,1M,0M,−,0%,−,−,-,–,-,0%
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
,,-,-,-,-,-,-,-,-,,−,−,−,-,−,−,-,–,-,-
