,Data Cloud All Accounts

,BU ,ANZ,,Snapshot
,OU,*,,# of accounts,304
,AOV Band,"01. >25M, 02. 10M-25M, 03. 5M-10M, 04. 1M-5M, 05. 500K-1M, 06. 100K-500K, 10. <1K, 09. 1K-10K, 08. 10K-50K, 07. 50K-100K",,AOV ($),28M
,Success Plan,*,,DS allowance,31B
,CL Influence,*
,FDE Covered,*
,,ACCT_NM,CY_DATACLOUD_AOV,CY_DATACLOUD_ACV,CY_DATACLOUD_OP,CY_DATACLOUD_PG,ORG62_SUPPORT_LEVEL,CL,ALL ENT_END_DT

,Data refreshed as of: 1/12,,,,,,,,,,DATA SERVICE CREDITS
,OU,# of Accounts,DC AOV,DC ACV,DC OP,DC PG,Success Plan,CL,Months to Renew,,Current ,,,,Prior Quarter,,,Q/Q Change,,Current
,,,,,,,,,,,Allowance,Proj. Use,Actual Used,Usage %,PQ - Allowance,PQ - Actual Used,PQ Usage,Usage ($),Usage (%),CRR
,001ed000000hc0PAAQ,Toyota New Zealand Limited,0.1M,−,,−,Basic,,-,,−,−,−,-,−,−,-,–,-,-
,0013000001MiRjCAAV,Sutton Tools Pty Ltd,0.1M,−,−,−,Premier,,44,,50M,13M,4M,9%,50M,1M,2%,+3M,+286%,35%
,0013000000HI3f9AAD,Meriton Group,0.1M,−,−,−,Premier,,34,,3M,1M,0M,0%,3M,0M,0%,-0M,-100%,0%
,00130000002xRpeAAE,Domain Holdings Australia Limited,0.1M,0.0M,−,0.0M,Premier,,5,,21M,18M,0M,0%,21M,0M,0%,+0M,+35%,0%
,0013000000M2j44AAB,Dusk Australasia Pty Ltd,0.1M,−,−,−,Premier,,48,,188M,35M,56M,30%,188M,24M,13%,+32M,+132%,159%
,0013000000hLjpoAAC,Shine Lawyers Pty Ltd,0.1M,0.0M,−,0.0M,Premier,,22,,26M,7M,0M,0%,26M,0M,0%,+0M,+126%,1%
,0013000000ImC18AAF,Morgans Financial Limited,0.1M,−,−,−,Premier,,24,,11M,6M,1M,7%,11M,1M,7%,+0M,+3%,12%
,0013000001L6Yz4AAF,Motorcorp Distributors Limited (Jaguar Land Rover New Zealand),0.1M,−,,−,Premier,,40,,208M,69M,48M,23%,208M,47M,23%,+0M,+1%,69%
,0013000000ZlijDAAR,PEPPERSTONE OPERATIONS PTY LTD,0.1M,0.0M,−,0.0M,Signature,,23,,15M,5M,0M,1%,15M,0M,0%,+0M,+1478%,4%
,0010M00001UMGvgQAH,AusNet Electricity Services Pty Ltd,0.1M,0.0M,−,0.0M,Premier,,57,,16M,1M,−,0%,−,−,-,–,-,0%
,001ed000006aHerAAE,VIVA ENERGY RETAIL PTY LTD,0.1M,0.0M,,0.0M,Premier,,8,,11M,3M,−,0%,11M,−,0%,–,-,0%
,0013000000IkkcNAAR,Comcater Pty Ltd,0.1M,−,,−,Basic,,23,,30M,10M,0M,0%,30M,0M,0%,+0M,+0%,0%
,0013000000Zlg4FAAR,Momentum Energy Pty Ltd,0.1M,−,−,−,Premier,,24,,31M,10M,0M,0%,31M,0M,0%,+0M,+0%,0%
,0010M00001SI83SQAT,Myhealth Medical Group,0.1M,−,−,−,Basic,,9,,11M,7M,0M,3%,11M,4M,36%,-4M,-91%,5%
,0013000000NQF2gAAH,AA Insurance Limited,0.1M,0.1M,−,0.6M,Premier,,34,,32M,1M,−,0%,−,−,-,–,-,0%
,0013000000HHYXcAAP,SKOPE INDUSTRIES LIMITED,0.1M,0.0M,−,0.0M,Basic,,32,,30M,11M,0M,0%,30M,0M,0%,+0M,+11%,0%
,0010M00001SegLtQAJ,Suncorp Corporate Services PTY LTD,0.1M,−,−,0.1M,Basic,,3,,25M,23M,−,0%,25M,−,0%,–,-,0%
,0013000000hMcOEAA0,Jetstar Airways Pty Ltd,0.1M,−,−,−,Premier,,22,,101M,51M,0M,0%,101M,0M,0%,+0M,+38%,0%
,0013000001L5hSnAAJ,Online Courses Australia Pty Ltd,0.1M,0.0M,,0.0M,Premier,,29,,43M,8M,−,0%,43M,−,0%,–,-,0%
,0013000000JjUnRAAV,True Alliance Corporate Services Pty Limited,0.1M,0.0M,−,0.0M,Premier,,23,,24M,15M,0M,0%,24M,0M,0%,+0M,+44%,0%
,00130000016juaAAAQ,LW Reid Pty Ltd,0.1M,−,−,−,Premier,,30,,25M,15M,−,0%,25M,−,0%,–,-,0%
