,Agentforce All Accounts

,BU ,LATAM,,Snapshot
,OU,*,,# of accounts,313
,AOV Band,"06. 100K-500K, 05. 500K-1M, 04. 1M-5M, 03. 5M-10M, 02. 10M-25M, 01. >25M, 07. 50K-100K, 08. 10K-50K, 09. 1K-10K, 10. <1K",,AOV ($),27M
,Success Plan,*,,Flex Credits Allowance,"12,276M"
,CL Influence,*,,Conv Allowance,14M
,FDE Covered,*
,,ACCT_NM,CY_AGENTFORCE_AOV,CY_AGENTFORCE_ACV,CY_AGENTFORCE_OP,CY_AGENTFORCE_PG,STAGE_NM,ORG62_SUPPORT_LEVEL,FDE Covered,CL,ALL ENT_END_DT

,Data refreshed as of: 1/12,,,,,,,,,,,,FLEX CREDITS,,,,,,,,,,,CONVERSATIONS
,Account #,Account Name,AF AOV,AF ACV,AF OP,AF PG,Adoption Stage,Success Plan,FDE,CL,Months to Renew,,Current ,,,,Prior Quarter,,,Q/Q Change,,Current,,Current ,,,,Prior Quarter,,,Q/Q Change,,Current
,,,,,,,,,,,,,Allowance,Proj. Use,Actual Used,Usage %,PQ - Allowance,PQ - Actual Used,PQ Usage,Usage ($),Usage (%),CRR,,Allowance,Proj. Use,Actual Used,Usage %,PQ - Allowance,PQ - Actual Used,PQ Usage,Usage ($),Usage (%),CRR
,00130000016juBKAAY,"Operadora de Servicios Paquetexpress, SAPI de C.V.",0.1M,0.1M,−,0.1M,Agents Activated in Prod,Premier,N,Leonardo Teren,30,,36M,23M,0M,0%,36M,0M,0%,+0M,+104%,0%,,−,−,−,-,−,−,-,–,-,-
,0010M00001SJS6AQAX,Provincia ART,0.1M,0.1M,−,0.1M,Agents Created in Prod or Sandbox,Premier,N,,10,,38M,26M,0M,0%,38M,0M,0%,+0M,+1445%,0%,,−,−,−,-,−,−,-,–,-,-
,0013000000NRQ0oAAH,Bice Vida,0.1M,0.1M,−,0.2M,Purchased SKU,Signature,N,,11,,20M,1M,0M,0%,−,−,-,+0M,-,0%,,−,−,−,-,−,−,-,–,-,-
,0010M00001QqcHEQAZ,Rede D'Or Sao Luiz (Matriz),0.1M,−,0.5M,0.6M,Consistently Using (Past Three Weeks 50+ Convos or 150+ Actions),Premier,N,Nicolas Gamallo,6,,−,−,−,-,−,−,-,–,-,-,,0M,0M,0M,2%,0M,0M,1%,+0M,+195%,2%
,0013y00001c7SoQAAU,Andina ART S.A.,0.1M,0.1M,−,−,Consistently Using (Past Three Weeks 50+ Convos or 150+ Actions),Premier,N,,11,,−,−,−,-,−,−,-,–,-,-,,0M,0M,0M,16%,0M,0M,11%,+0M,+53%,38%
,001ed00000SedliAAB,FNA (FSC),0.1M,0.1M,,0.1M,Purchased SKU,Basic,N,,10,,40M,7M,−,0%,−,−,-,–,-,0%,,−,−,−,-,−,−,-,–,-,-
,0013000000DAMWkAAP,"Banco Actinver, S.A., Institución de Banca Múltiple, Grupo Financiero Actinver",0.1M,0.0M,−,0.0M,Purchased SKU,Signature,N,,14,,43M,11M,−,0%,43M,−,0%,–,-,0%,,−,−,−,-,−,−,-,–,-,-
,0010M00001QlDBBQA3,Puntos Colombia,0.1M,0.1M,−,0.1M,Purchased SKU,Premier,N,,11,,25M,1M,−,0%,−,−,-,–,-,0%,,−,−,−,-,−,−,-,–,-,-
,0010M00001MtNnGQAV,"Hyundai Motor de México, S. de R.L de C.V. RFC: HMM1308078T2",0.1M,0.0M,0.5M,0.5M,Consistently Using (Past Three Weeks 50+ Convos or 150+ Actions),Premier,N,Abel Hernandez,11,,−,−,−,-,−,−,-,–,-,-,,0M,0M,0M,23%,0M,0M,6%,+0M,+298%,29%
,0013000000LjCTqAAN,COTO,0.1M,0.1M,−,0.1M,Consistently Using (Past Three Weeks 50+ Convos or 150+ Actions),Premier,N,,21,,48M,5M,2M,5%,3M,0M,11%,+2M,+736%,51%,,−,−,−,-,−,−,-,–,-,-
,0010M00001SIKVGQA5,Grupo Ferromax,0.1M,0.1M,−,0.1M,Purchased SKU,Basic,N,,18,,47M,23M,−,0%,−,−,-,–,-,0%,,−,−,−,-,−,−,-,–,-,-
,0010M00001QkiRAQAZ,Colombiana de Comercio S.A.,0.1M,−,−,0.1M,Agents Created in Prod or Sandbox,Premier,N,,24,,−,−,−,-,−,−,-,–,-,-,,0M,0M,−,0%,0M,−,0%,–,-,0%
,0013000000HIZIVAA5,"Office Depot de México, S.A. de C.V.",0.1M,0.1M,−,0.1M,Purchased SKU,Basic,N,,21,,60M,6M,−,0%,−,−,-,–,-,0%,,−,−,−,-,−,−,-,–,-,-
,0013000000NPlxLAAT,Organizacion Terpel S.A.,0.1M,0.0M,−,0.2M,Consistently Using (Past Three Weeks 50+ Convos or 150+ Actions),Signature,N,Leonardo Teren,24,,−,−,−,-,−,−,-,–,-,-,,0M,0M,0M,2%,0M,−,0%,+0M,-,12%
,0013000001CCpybAAD,Banco Macro S.A.,0.1M,−,−,0.1M,Agents Used in Prod,Signature,N,Nicolas Gamallo,0,,−,−,−,-,−,−,-,–,-,-,,0M,0M,0M,0%,0M,−,0%,+0M,-,0%
,0013000001CCq9PAAT,Administradora De Fondos De Pensiones y Cesantias Proteccion,0.1M,−,−,0.2M,Agents Activated in Prod,Premier,N,Leonardo Teren,12,,−,−,−,-,−,−,-,–,-,-,,0M,0M,−,0%,0M,−,0%,–,-,0%
,0013000001GWkLCAA1,CAOA MONTADORA DE VEICULOS LTDA,0.1M,0.0M,−,0.0M,Agents Created in Prod or Sandbox,Premier,N,,41,,50M,6M,0M,0%,50M,0M,0%,+0M,+4504%,0%,,−,−,−,-,−,−,-,–,-,-
,0013000001GXXyUAAX,Bidcom SRL,0.1M,0.0M,0.2M,0.2M,Agents Created in Prod or Sandbox,Premier,N,,7,,20M,8M,0M,0%,20M,−,0%,+0M,-,0%,,−,−,−,-,−,−,-,–,-,-
,0013000000roZGgAAM,SIRONA DENTAL COMERCIO DE PRODUTOS E SISTEMAS ODONTOLOGICOS LTDA.,0.1M,0.0M,−,0.0M,Agents Created in Prod or Sandbox,Premier,N,,9,,−,−,−,-,−,−,-,–,-,-,,0M,0M,−,0%,0M,−,0%,–,-,0%
,0013y00001fSoyIAAS,Company Sage,0.1M,−,0.0M,0.0M,Consistently Using (Past Three Weeks 50+ Convos or 150+ Actions),Premier,N,,12,,−,−,−,-,−,−,-,–,-,-,,0M,0M,0M,14%,0M,0M,6%,+0M,+126%,30%
,00130000016iGuYAAU,BHN Seguros Generales S.A.,0.1M,0.0M,−,0.0M,Consistently Using (Past Three Weeks 50+ Convos or 150+ Actions),Premier,N,,10,,17M,2M,0M,0%,−,−,-,+0M,-,2%,,−,−,−,-,0M,0M,9%,-0M,-100%,-
