customer,acct_id,acct_nm,OU Mapping,Customer Usage Category,tenure_segment,Low Consumption Customer,cust_crr_classification,Data Date,customer_dc_aov,cust_data_cloud_crr,Account Count,Count,Acct_ID_18
AAKASH HEALTHCARE,0010M00001SHbkX,Aakash Healthcare,,No Production Usage,0-3 Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0010M00001SHbkXQAT
AAKEL TECHNOLOGIES INC.,0010M00001WaxcJ,AAKEL inc.,,No Production Usage,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0010M00001WaxcJQAR
AALTO-KORKEAKOULUSÄÄTIÖ SR,0013000000rqXkh,Aalto University Foundation sr,,No Production Usage,12+ Months,Low Consumption,Under Consuming,2-Jan,,,1,1,0013000000rqXkhAAE
AALTO-KORKEAKOULUSÄÄTIÖ SR,0013000000rqXkh,Aalto University Foundation sr,,No Production Usage,12+ Months,Low Consumption,Under Consuming,2-Jan,,,1,1,0013000000rqXkhAAE
AARHUS KOMMUNE,0013y00001cZnkK,Kredsløb A/S,,Activate Anywhere,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0013y00001cZnkKAAS
AARP,0013000000hJrzc,AARP Consumer Care,,Activate Anywhere,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0013000000hJrzcAAC
AARP,0013000000hJrzc,AARP Consumer Care,,Activate Anywhere,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0013000000hJrzcAAC
AARP,0013000000hJrzc,AARP Consumer Care,,Activate Anywhere,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0013000000hJrzcAAC
AARP,0013000000hJrzc,AARP Consumer Care,,Activate Anywhere,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0013000000hJrzcAAC
AB ADMINISTRACAO DE BENS NEGOCIOS E PARTICIPACOES LTDA,0013y00001cSirQ,CIA Latino Americana de Medicamentos,,Activate Anywhere,9-12 Months,Consumption >10k,Consuming Well,2-Jan,,,1,1,0013y00001cSirQAAS
ABB LTD,0013y00001dW9m9,ABB E-mobility Holding AG,,Activate Anywhere,12+ Months,Consumption >10k,Consuming Well,2-Jan,,,1,1,0013y00001dW9m9AAC
ABB LTD,0013000000DTBk1,ABB Information Systems Ltd.,,Activate Anywhere,12+ Months,Consumption >10k,Consuming Well,2-Jan,,,1,1,0013000000DTBk1AAH
ABBOTT LABORATORIES,0010M00001WYbHX,Abbott Laboratories,,Segment/Predict,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0010M00001WYbHXQA1
ABBOTT LABORATORIES,0010M00001WYbHX,Abbott Laboratories,,Segment/Predict,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0010M00001WYbHXQA1
ABBOTT LABORATORIES,0013000001J4lme,Abbott Laboratories,,Segment/Predict,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0013000001J4lmeAAB
ABBOTT LABORATORIES,0013000001J4lme,Abbott Laboratories,,Segment/Predict,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0013000001J4lmeAAB
ABBVIE INC.,001ed00000XMaRg,Abbvie Data Cloud Home org,,Unified/Harmonized,12+ Months,Consumption >10k,Consuming,2-Jan,,,1,1,001ed00000XMaRgAAL
ABBVIE INC.,001ed00000XMaRg,Abbvie Data Cloud Home org,,Unified/Harmonized,12+ Months,Consumption >10k,Consuming,2-Jan,,,1,1,001ed00000XMaRgAAL
"ABC EMPLOYMENT HOLDINGS, LLC",0013000000NSPcL,MS Companies,,Segment/Predict,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0013000000NSPcLAAX
ABC WORLDWIDE STONE TRADING LLC,00130000016hMKt,ABC Worldwide Stone,,Activate Anywhere,12+ Months,Low Consumption,Under Consuming,2-Jan,,,1,1,00130000016hMKtAAM
ABENEX CAPITAL,0013000001J7mk0,AC ENVIRONNEMENT,,Activate Anywhere,12+ Months,Consumption >10k,Consuming Well,2-Jan,,,1,1,0013000001J7mk0AAB
ABHARAN JEWELLERS,0013000000RYGdN,Abharan Jewellers,,No Production Usage,0-3 Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0013000000RYGdNAAX
ABITARE CO. SRL,0010M00001VKi09,Abitare CO. SRL,,No Production Usage,9-12 Months,Low Consumption,Under Consuming,2-Jan,,,1,1,0010M00001VKi09QAD
ABLENET INC,0013000000ZkJE7,AbleNet Inc,,Activate Anywhere,12+ Months,Consumption >10k,Consuming Well,2-Jan,,,1,1,0013000000ZkJE7AAN
ABN GROUP PTY LTD,0013000000hIWOm,ABN Group,,No Production Usage,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0013000000hIWOmAAO
"ABOFF'S, INC.",00130000016glLv,"Aboff's, Inc.",,Activate Anywhere,9-12 Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,00130000016glLvAAI
ABRDN PLC,0010M00001Sn8x1,Interactive Investor Services Limited,,Activate Anywhere,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0010M00001Sn8x1QAB
ABRDN PLC,0013000000E22lb,Interactive Investor Services Limited,,Activate Anywhere,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0013000000E22lbAAB
ABRDN PLC,0013000000E22lb,Interactive Investor Services Limited,,Activate Anywhere,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0013000000E22lbAAB
ABRDN PLC,00130000004J9cx,Aberdeen Corporate Services Limited,,Activate Anywhere,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,00130000004J9cxAAC
ABRDN PLC,00130000004J9cx,Aberdeen Corporate Services Limited,,Activate Anywhere,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,00130000004J9cxAAC
ABSA BANK LTD,0010M00001JzvBB,ABSA Bank Limited,,Activate Anywhere,12+ Months,Consumption >10k,Consuming Well,2-Jan,,,1,1,0010M00001JzvBBQAZ
ABSA BANK LTD,0010M00001JzvBB,ABSA Bank Limited,,Activate Anywhere,12+ Months,Consumption >10k,Consuming Well,2-Jan,,,1,1,0010M00001JzvBBQAZ
ABSOLUTE SOFTWARE CORPORATION,0013y00001c8L4A,Absolute Software Corporation,,Segment/Predict,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0013y00001c8L4AAAU
ABU DHABI GLOBAL MARKET,0010M00001XyGFV,Abu Dhabi Global Market (Master),,Activate Anywhere,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0010M00001XyGFVQA3
ABU DHABI GLOBAL MARKET,0013000001Mipkx,Abu Dhabi Global Market (RA),,Activate Anywhere,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0013000001MipkxAAB
ABU DHABI NATIONAL OIL COMPANY (ADNOC) P.J.S.C.,0013000000rnLuz,Abu Dhabi National Oil Company (ADNOC) - ADD org,,Activate Anywhere,12+ Months,CDP Only,No CRR,2-Jan,,,1,1,0013000000rnLuzAAE
ABU DHABI NATIONAL OIL COMPANY (ADNOC) P.J.S.C.,0013000000rnLuz,Abu Dhabi National Oil Company (ADNOC) - ADD org,,Activate Anywhere,12+ Months,CDP Only,No CRR,2-Jan,,,1,1,0013000000rnLuzAAE
"AC LOGISTICS MÉXICO, S.A. DE C.V.",0013y00001f9EmT,"AC Logistics México, SA de CV ALM1909201A1",,No Production Usage,3-6 Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0013y00001f9EmTAAU
"AC LOGISTICS MÉXICO, S.A. DE C.V.",0013y00001f9EmT,"AC Logistics México, SA de CV ALM1909201A1",,No Production Usage,3-6 Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0013y00001f9EmTAAU
"AC LOGISTICS MÉXICO, S.A. DE C.V.",0013y00001f9EmT,"AC Logistics México, SA de CV ALM1909201A1",,No Production Usage,3-6 Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0013y00001f9EmTAAU
"ACADEMIC PARTNERSHIPS, LLC",00130000016gEL8,"Risepoint, LLC",,Activate Anywhere,12+ Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,00130000016gEL8AAM
ACAST AB (PUBL),0013000001MrML2,Acast AB,,Activate Anywhere,12+ Months,Consumption >10k,Consuming Well,2-Jan,,,1,1,0013000001MrML2AAN
ACCELERANT HOLDING LLC,0013y00001fbpZU,Accelerant Holding LLC,,Activate Anywhere,0-3 Months,Consumption >10k,Under Consuming,2-Jan,,,1,1,0013y00001fbpZUAAY
