
Account #,Account Name,CL,AF AOV,AF ACV,AF OP,AF PG,Adoption Stage,Conv Allowance,Flex Credits Allowance,Support Level 
00130000016iYD7AAM,Smartsheet Inc.,Sam Elliott,0M,0M,0M,0M,Consistently Using (Past Three Weeks 50+ Convos or 150+ Actions),0K,"30,400K",Premier
0013y00001emPAUAA2,Cox Automotive Corporate Services,,0M,0M,−,0M,Agents Created in Prod or Sandbox,0K,"40,100K",Premier
0010M00001WkpMgQAJ,Nielsen US TAM Panel,,0M,0M,−,0M,Agents Created in Prod or Sandbox,81K,0K,Premier
0010M00001SJQeeQAH,"Sweeping Corporation of America, LLC",,0M,−,−,−,Purchased SKU,48K,0K,Premier
00130000001GVZHAA4,"Tenable, Inc.",,0M,0M,0M,0M,Agents Created in Prod or Sandbox,0K,"21,100K",Premier
00130000002xRrgAAE,Renesas Electronics America Inc.,,0M,0M,−,0M,Consistently Using (Past Three Weeks 50+ Convos or 150+ Actions),51K,0K,Signature
0013000001Fj29sAAB,HistoryMaker Homes,,0M,−,,0M,Purchased SKU,47K,0K,Basic
0013000000Ijz83AAB,"Riskonnect, Inc.",,0M,−,−,−,Agents Used in Prod,230K,0K,Premier
0013000000ZlyNCAAZ,Buildertrend Solutions*,,0M,−,−,0M,Agents Created in Prod or Sandbox,147K,0K,Premier
0013y00001cFZgtAAG,Express Wash Concepts,,0M,0M,−,0M,Consistently Using (Past Three Weeks 50+ Convos or 150+ Actions),166K,0K,Signature
0013000000IlzuTAAR,MSCI INC.,,0M,0M,0M,−,Agents Created in Prod or Sandbox,56K,0K,Premier
0013y00001fbfUNAAY,Cognizant Technology Solutions Corporation,,0M,0M,−,1M,Agents Created in Prod or Sandbox,0K,"18,000K",Premier
001000000015hqyAAA,"Motorola Solutions, Inc.",Joseph Zomayah,0M,0M,1M,2M,Agents Created in Prod or Sandbox,42K,"50,200K",Signature
001ed00000PcuMEAAZ,"Zayo Group, LLC (SF NEW)",,0M,0M,0M,0M,Purchased SKU,0K,"20,100K",Premier
0010M00001Seoc5QAB,Jaggaer,,0M,−,0M,0M,Agents Used in Prod,81K,0K,Premier
0013000000hJOi1AAG,Engine (formerly Hotel Engine),Taylor DiVincenzo,0M,−,0M,0M,Consistently Using (Past Three Weeks 50+ Convos or 150+ Actions),0K,"4,044K",Signature
0013000001JyhIaAAJ,"Green Brick Partners, Inc.",,0M,−,−,−,Purchased SKU,39K,0K,Basic
0013000000rpFSiAAM,"Freshworks, Inc",,0M,0M,0M,0M,Consistently Using (Past Three Weeks 50+ Convos or 150+ Actions),51K,0K,Signature
00100000001E1OPAA0,"Heidrick & Struggles International, Inc.",,0M,−,0M,0M,Agents Created in Prod or Sandbox,27K,0K,Signature
00100000001CwQkAAK,"Trueblue, Inc.",Shankar Balasubramanian,0M,−,−,0M,Agents Used in Prod,42K,0K,Premier
0013y00001cItCwAAK,Montway LLC DBA Montway Auto Transport,,0M,−,0M,0M,Consistently Using (Past Three Weeks 50+ Convos or 150+ Actions),45K,0K,Signature
0013000001CCDFeAAP,Motive,,0M,0M,0M,0M,Agents Used in Prod,0K,"27,500K",Premier
0010M00001S9GBwQAN,Bose Corporation*,,0M,−,−,−,Agents Activated in Prod,41K,0K,Signature
001ed00000V5asHAAR,RAL Business Services LLC,,0M,0M,−,0M,Purchased SKU,0K,0K,Basic
0013000000RXwV6AAL,Fusion Academy,,0M,−,−,0M,Agents Used in Prod,91K,0K,Premier
0013000000JIDUkAAP,"Avetta, LLC",Nick Stevens,0M,0M,0M,0M,Consistently Using (Past Three Weeks 50+ Convos or 150+ Actions),30K,0K,Premier
0013000000C5StFAAV,"Advanced Technology Services, Inc.",,0M,−,−,−,Purchased SKU,26K,0K,Premier
00130000016jgHqAAI,Stansberry Holdings,,0M,0M,,0M,Agents Created in Prod or Sandbox,0K,"33,100K",Signature
0013000001GXa9eAAD,Progress Software Corporation - ShareFile Org,,0M,0M,,0M,Agents Used in Prod,0K,"12,600K",Premier
00130000002xTNAAA2,"Vortex Industries, LLC",,0M,0M,0M,0M,Agents Used in Prod,0K,"15,100K",Premier
0013y00001d9G3LAAU,Siemens Corporation,,0M,−,,−,Purchased SKU,0K,0K,Basic
0013000000NRviZAAT,"Okta, Inc.",,0M,−,0M,0M,Agents Created in Prod or Sandbox,26K,0K,Signature
0013y00001cCZG3AAO,Sony Interactive Entertainment LLC,,0M,0M,5M,5M,Agents Created in Prod or Sandbox,29K,0K,Signature
00130000008UtFcAAK,Vonage Business Inc.,,0M,−,0M,2M,Agents Used in Prod,0K,"10,800K",Signature
0013000000M1n8GAAR,Erie Home,,0M,0M,0M,0M,Agents Activated in Prod,100K,0K,Signature
0013000001CBNFAAA5,BambooHR 2nd Org,,0M,−,-0M,-0M,Consistently Using (Past Three Weeks 50+ Convos or 150+ Actions),0K,"10,600K",Premier
0013000000ZjiAlAAJ,ADT LLC,,0M,0M,1M,1M,Purchased SKU,856K,0K,Signature
0010M00001Qm8nYQAR,ASGN Inc./Apex Systems (HQ Main Org),,0M,0M,−,0M,Agents Created in Prod or Sandbox,0K,"12,100K",Signature
0013000000LDqlyAAD,Global Association of Risk Professionals (GARP),,0M,−,−,0M,Agents Created in Prod or Sandbox,76K,0K,Premier
00130000002xZSNAA2,"Topcon Healthcare, Inc",,0M,0M,−,0M,Purchased SKU,26K,0K,Premier
00130000002YBB6AAO,Zebra Technologies Corporation,Sam Elliott,0M,0M,−,1M,Agents Used in Prod,0K,"10,100K",Premier
00130000001cah7AAA,Coalfire Systems Inc.,,0M,0M,−,0M,Agents Created in Prod or Sandbox,0K,"20,100K",Premier
0010M00001WkSYIQA3,Marcus & Millichap Real Estate Investment Services MMI,,0M,0M,−,0M,Purchased SKU,0K,"10,100K",Premier
0013000000KxEK1AAN,MedPro Staffing,,0M,−,0M,0M,Agents Used in Prod,106K,0K,Premier
0013000000ZmUJpAAN,"Juniper Networks, Inc.",,0M,0M,,2M,Agents Created in Prod or Sandbox,0K,"10,000K",Signature
001ed000005GfFdAAK,Lumivero B2B,,0M,−,0M,0M,Consistently Using (Past Three Weeks 50+ Convos or 150+ Actions),32K,0K,Premier
0013000001G0QV6AAN,"One, Inc. Software Corporation",,0M,0M,−,0M,Agents Created in Prod or Sandbox,0K,"33,000K",Premier
00100000001ih1eAAA,Deloitte Global Services Limited,,0M,−,0M,0M,Purchased SKU,0K,0K,Signature
0013000001Fj9hXAAR,Softweb Solutions (acquired),,0M,0M,,0M,Purchased SKU,32K,0K,Premier
00100000002JlrNAAS,Proquire LLC*,,0M,0M,5M,1M,Consistently Using (Past Three Weeks 50+ Convos or 150+ Actions),0K,"17,700K",Signature
0013000001GW5FFAA1,Turnberry Solutions (ThreeBridge Solutions),,0M,0M,−,0M,Agents Created in Prod or Sandbox,0K,"27,100K",Premier
00130000009Ms6uAAC,"Pacers Basketball, LLC",Joseph Zomayah,0M,−,−,0M,Agents Used in Prod,101K,0K,Premier
0013000000JzTEJAA3,"Autodesk, Inc.",,0M,−,1M,1M,Agents Created in Prod or Sandbox,0K,"29,300K",Signature
00100000001E3E7AAK,"Gerson Lehrman Group, Inc.",,0M,−,−,−,Purchased SKU,22K,0K,Premier
00100000001pHFsAAM,"TriNet USA, Inc.",,0M,0M,0M,0M,Agents Used in Prod,0K,"6,800K",Signature
0013000000LBr30AAD,TDS Telecommunications LLC,,0M,0M,0M,0M,Agents Created in Prod or Sandbox,21K,0K,Signature
0013000001Fk9GGAAZ,Olshan Foundation Repair,,0M,0M,−,0M,Agents Used in Prod,0K,"17,900K",Basic
0013000000JIu1eAAD,Rochester Electronics,Matt Nesci,0M,0M,0M,0M,Consistently Using (Past Three Weeks 50+ Convos or 150+ Actions),23K,0K,Premier
0013000000hJI0wAAG,Amazon.com Services LLC,,0M,0M,1M,26M,Purchased SKU,0K,0K,Signature
0013000000JXowtAAD,"Cellular South, Inc.",,0M,0M,−,0M,Purchased SKU,0K,"16,500K",Premier
00130000001tlpwAAA,Prince Waikiki*,,0M,−,,−,Consistently Using (Past Three Weeks 50+ Convos or 150+ Actions),31K,0K,Basic
0013y00001fF7JLAA0,National Basketball Players Association,,0M,0M,−,0M,Purchased SKU,49K,0K,Basic
0010M00001YFcWSQA1,Apple Inc.,,0M,0M,2M,4M,Purchased SKU,11K,"48,100K",Signature
0013000000KxJbLAAV,Schrodinger Inc.,,0M,−,0M,0M,Agents Created in Prod or Sandbox,21K,0K,Premier
0010M00001aPs7eQAC,"Liveops Agent Services, LLC (2nd org)",,0M,−,0M,0M,Consistently Using (Past Three Weeks 50+ Convos or 150+ Actions),16K,0K,Premier
0010M00001PDunSQAT,"Pearson Education, Inc",,0M,−,−,−,Agents Used in Prod,0K,"13,200K",Signature
0010M00001QnSMVQA3,DISQO,,0M,−,,−,Purchased SKU,18K,0K,Basic
0013000001GWcbpAAD,Plative*,,0M,−,−,−,Agents Used in Prod,19K,0K,Basic
0013000000RZqN1AAL,Phone.com,,0M,0M,,0M,Agents Used in Prod,15K,0K,Basic
00100000001CwRxAAK,Robert Half International Inc.,,0M,−,1M,1M,Purchased SKU,0K,100K,Signature
0013y00001cgQp8AAE,Pearson Education Inc,,0M,−,−,−,Purchased SKU,0K,"13,200K",Signature
0010M00001Qmt0TQAR,The SSI Group (Primary Org),,0M,0M,0M,0M,Agents Created in Prod or Sandbox,0K,"15,100K",Premier
00130000002xZ7UAAU,IGT - A Nevada Corporation,,0M,−,0M,−,Agents Used in Prod,12K,0K,Premier
00100000000JIOiAAO,Konica Minolta Business Solutions U.S.A. Inc.,,0M,−,0M,−,Purchased SKU,19K,0K,Premier
0013000000K71mhAAB,"Single Digits, Inc.",,0M,0M,−,0M,Agents Used in Prod,0K,"5,100K",Basic
0013000000I6BusAAF,"Care.com, Inc.",Joseph Zomayah,0M,0M,−,0M,Agents Created in Prod or Sandbox,26K,0K,Premier
00120000000Ab1bAAC,Commvault Systems,,0M,−,0M,0M,Purchased SKU,26K,0K,Signature
0010M00001QkkMbQAJ,Epson America Inc.,,0M,0M,−,−,Agents Created in Prod or Sandbox,16K,0K,Premier
0013000001NXrZBAA1,"Servion Global Solutions, Inc",,0M,−,−,−,Purchased SKU,25K,0K,Premier
0013000000Em9BQAAZ,CivicPlus,,0M,−,−,−,Purchased SKU,11K,0K,Basic
0010M00001QqTaqQAF,"Virgin Cruises Intermediate Limited (""Virgin Voyages"")",Taylor DiVincenzo,0M,−,1M,1M,Agents Created in Prod or Sandbox,0K,"1,400K",Premier
0013y00001fEh1UAAS,The Pasha Group (New Org),,0M,0M,−,−,Agents Used in Prod,10K,0K,Premier
0010M00001Qk0MOQAZ,Qentelli,,0M,0M,−,0M,Purchased SKU,0K,"4,600K",Premier
0013000001GUieXAAT,SkillStorm (Main),,0M,0M,0M,0M,Agents Created in Prod or Sandbox,0K,"4,600K",Premier
0013000001C9zOOAAZ,Taulia - Operational Instance,,0M,0M,−,0M,Agents Used in Prod,0K,"5,100K",Premier
0010M00001SJRwoQAH,Akin Gump Strauss Hauer & Feld LLP,,0M,0M,−,0M,Purchased SKU,0K,"25,100K",Signature
0013000001JzLceAAF,TRAC Intermodal,,0M,0M,−,−,Agents Activated in Prod,48K,0K,Basic
0013000000rquhuAAA,"Willowtree, LLC (master account)",,0M,−,−,−,Agents Created in Prod or Sandbox,11K,0K,Premier
0013000000M1aOPAAZ,Forest Lawn Mortuary,,0M,−,0M,0M,Agents Used in Prod,11K,0K,Signature
0013000000GJWiVAAX,V-Soft Consulting (Main),,0M,0M,,0M,Agents Used in Prod,0K,"5,800K",Basic
0013000000NQnX2AAL,Vaco,,0M,−,,−,Agents Created in Prod or Sandbox,11K,0K,Premier
0010M00001WkgnlQAB,"Worldwide Express, LLC (V1 Org)",,0M,0M,−,0M,Agents Created in Prod or Sandbox,0K,"4,100K",Premier
0010M00001SIhKRQA1,YouGov America Inc.,,0M,−,−,0M,Purchased SKU,51K,0K,Premier
00100000000CK5KAAW,Dynatrace,,0M,−,−,−,Agents Created in Prod or Sandbox,31K,0K,Signature
00130000008UrkQAAS,"Global Data Consultants, Llc",,0M,0M,−,0M,Agents Used in Prod,0K,"4,100K",Premier
00130000004UfHdAAK,KPMG LLP,Jasmine Louie,0M,0M,−,0M,Agents Created in Prod or Sandbox,0K,"5,100K",Signature
0013000000ZkIFaAAN,Willkie Farr & Gallagher LLP,,0M,0M,,0M,Purchased SKU,0K,"29,600K",Premier
0013y00001eYbY9AAK,Eliassen,,0M,0M,0M,0M,Agents Used in Prod,0K,"9,300K",Premier
0013y00001cwCJsAAM,"CoreLogic Solutions, LLC",,0M,0M,0M,0M,Agents Used in Prod,0K,"17,500K",Premier
001ed000006XcizAAC,Andersen Tax LLC,,0M,−,0M,0M,Agents Created in Prod or Sandbox,31K,0K,Premier
0013000001Mj54lAAB,"EXL Service Technology Solutions, LLC",,0M,−,−,−,Purchased SKU,11K,0K,Premier
0013000001GV8PrAAL,"Algolia, Inc.*",,0M,0M,0M,0M,Agents Used in Prod,0K,"5,000K",Premier
0013000000ZlwROAAZ,Windstar Cruises,,0M,0M,,1M,Purchased SKU,11K,0K,Premier
0013000000ZkJjaAAF,ScentAir,,0M,0M,−,−,Agents Created in Prod or Sandbox,21K,0K,Premier
00130000000dubwAAA,"Boomi, LP",,0M,0M,−,0M,Agents Created in Prod or Sandbox,0K,"5,100K",Premier
0010M00001QkeiKQAR,"Granicus, Inc. (2nd Org)",,0M,−,0M,1M,Agents Created in Prod or Sandbox,10K,0K,Signature
00100000001szxXAAQ,"Robbins Research International, Inc.",,0M,−,0M,0M,Agents Activated in Prod,11K,0K,Premier
001000000001cULAAY,Unisys Corporation,,0M,−,−,0M,Purchased SKU,31K,0K,Premier
0013y00001dNA72AAG,PerfectVision,,0M,−,−,0M,Agents Created in Prod or Sandbox,11K,0K,Signature
0013y00001c4fuYAAQ,"Northwest Fiber, LLC DBA Ziply Fiber",,0M,0M,−,0M,Purchased SKU,0K,"3,700K",Premier
0013y00001cMld4AAC,Encora,,0M,0M,,0M,Agents Created in Prod or Sandbox,0K,"4,100K",Premier
0013000000hL7m2AAC,2U LLC,,0M,0M,−,0M,Purchased SKU,0K,0K,Signature
0013y00001fvAazAAE,Proquire LLC,,0M,−,−,−,Agents Used in Prod,0K,"12,700K",Premier
0013000000RWwwYAAT,GSPANN Technologies Inc.,,0M,0M,,0M,Agents Used in Prod,0K,"4,100K",Premier
0013y00001cVpcWAAS,ITSoli,,0M,0M,0M,0M,Purchased SKU,0K,"4,100K",Premier
0013y00001fvAbEAAU,Proquire LLC,,0M,−,,−,Agents Used in Prod,0K,"36,200K",Premier
0013000001JxwWKAAZ,Seyfarth Shaw LLP,,0M,0M,−,0M,Purchased SKU,0K,"3,400K",Premier
00130000016g9DWAAY,Astound Commerce Corporation,,0M,0M,0M,0M,Consistently Using (Past Three Weeks 50+ Convos or 150+ Actions),0K,"3,300K",Basic
00130000016jccrAAA,MGT Impact Solutions (Main Account),,0M,−,−,−,Purchased SKU,10K,0K,Basic
0013000000ZmUShAAN,"Cushman & Wakefield Global, Inc",,0M,−,−,0M,Agents Created in Prod or Sandbox,26K,0K,Signature
0013000000Em4hzAAB,Relevantz*,,0M,0M,0M,0M,Purchased SKU,0K,"4,000K",Basic
00100000001yCkeAAE,City Experiences/Hornblower Group,,0M,0M,1M,1M,Consistently Using (Past Three Weeks 50+ Convos or 150+ Actions),0K,"6,100K",Premier
0013y00001cZwujAAC,UnisysCorporationFES,,0M,−,−,−,Agents Created in Prod or Sandbox,11K,0K,Premier
0013000000ZkD9pAAF,AFL Telecommunications,,0M,0M,0M,1M,Agents Created in Prod or Sandbox,0K,"3,100K",Premier
0013000000M1AHyAAN,"CallRevu, LLC",,0M,−,0M,0M,Agents Used in Prod,11K,0K,Basic
00100000001T7rXAAS,CDM Smith Inc.,,0M,0M,0M,1M,Agents Used in Prod,11K,0K,Premier
00130000002xduZAAQ,ECi,,0M,0M,,0M,Agents Created in Prod or Sandbox,0K,"11,900K",Premier
00130000000Df3fAAC,CoStar Real Estate Manager,,0M,−,,−,Agents Used in Prod,10K,0K,Premier
0013000001NXR52AAH,"On Location Events, LLC (TKO)",,0M,−,−,−,Agents Used in Prod,36K,0K,Premier
001ed000005uwcjAAA,Proquire LLC,,0M,−,−,−,Agents Created in Prod or Sandbox,0K,"37,000K",Premier
0013y00001h81zDAAQ,Proquire LLC,,0M,0M,−,0M,Agents Activated in Prod,0K,"37,000K",Premier
001000000004aOoAAI,NVIDIA Corporation,Jesus Sanchez,0M,0M,0M,5M,Agents Used in Prod,0K,"3,400K",Signature
00130000000xwcaAAA,BPM LLP,,0M,0M,0M,0M,Agents Activated in Prod,7K,0K,Premier
00130000001ysymAAA,"Vendavo, Inc.",,0M,0M,−,0M,Agents Created in Prod or Sandbox,21K,0K,Premier
00100000002EEpgAAG,"The MathWorks,  Inc.",,0M,−,−,0M,Agents Created in Prod or Sandbox,9K,0K,Premier
0013000001Fj5ppAAB,Snap Inc.,,0M,0M,−,0M,Agents Used in Prod,0K,"7,300K",Signature
0013y00001cG3oMAAS,"Link Logistics Real Estate LLC, a Delaware limited liability company",,0M,0M,−,0M,Agents Created in Prod or Sandbox,11K,0K,Signature
0010M00001QaXU2QAN,Vertex Inc. (Enterprise),,0M,−,−,1M,Purchased SKU,21K,0K,Signature
0013000000NPOEYAA5,"DX1, LLC",,0M,0M,,0M,Agents Used in Prod,0K,"5,300K",Premier
001300000020614AAA,"Softerware, Inc.",,0M,−,−,−,0K,20K,0K,Premier
0013y00001fvAbJAAU,Proquire LLC,,0M,0M,,0M,Consistently Using (Past Three Weeks 50+ Convos or 150+ Actions),0K,"37,500K",Premier
0013000000HFsP4AAL,Pinnacle Group (HQ) - DO NOT PURSUE,,0M,0M,,−,Purchased SKU,0K,"10,100K",Premier
0013000001GVffuAAD,"Long & Foster Companies, Inc.",,0M,−,,0M,Purchased SKU,11K,0K,Premier
00130000000LUOFAA4,Minnesota Wild Hockey Club LP,,0M,0M,−,0M,Agents Created in Prod or Sandbox,0K,"11,800K",Basic
0013y00001g5NUQAA2,Concentrix Solutions Corporation,,0M,−,−,−,Agents Created in Prod or Sandbox,7K,0K,Premier
