ACCT_ID_18,ACCOUNT_ID,ACCOUNT_NAME,IS_PROVISIONED,INTERNALDATAPIPELINE,STREAMINGCI,STREAMINGACTIONS,Activate DMO - Streaming,BATCHCI,BATCHPROFILEUNIFICATION,SUBSECONDREALTIMEEVENTS,INFERENCEENGINE,BATCHINGEST,ACCELERATEDQUERIES,DATAQUERIES,STREAMTRANSFORM,DATASHARESCHANGED,REALTIMEPROFILEAPI,BATCHTRANSFORM,SEGMENTS,DATASHARESACCESSED,STREAMINGEST,BATCHACTIVATIONPROCESSED,PRIVATECONNECTDATAPROCESSED,UNSTRUCTUREDDATAPROCESSED
0013000001HeEHZAA3,0013000001HeEHZ,Tsubakimoto Europe B.V.,Y,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
0013000001HeGDLAA3,0013000001HeGDL,Accell Global B.V.,Y,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
0013000001HeGQAAA3,0013000001HeGQA,CaseIQ,Y,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
0013000001HeGW8AAN,0013000001HeGW8,AIRBUS SAS (Airbus DS SLC),Y,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
0013000001HeGWNAA3,0013000001HeGWN,AIRBUS HELICOPTERS SAS,Y,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No
0013000001HeIRoAAN,0013000001HeIRo,Woolloo Pty Ltd,Y,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
0013000001HeIplAAF,0013000001HeIpl,Flying Academy s.r.o.,Y,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes
0013000001HeIulAAF,0013000001HeIul,Inviva / Cap Retraite,Y,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No
0013000001HeOvfAAF,0013000001HeOvf,Flybits,Y,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
0013000001HeQgMAAV,0013000001HeQgM,Dscoop,Y,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
0013000001HeTrHAAV,0013000001HeTrH,BIMM,Y,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
0013000001HeTsZAAV,0013000001HeTsZ,Aquestia,Y,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
0013000001HeU7oAAF,0013000001HeU7o,MAX Exchange (MAXEX),N,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
0013000001HeVmWAAV,0013000001HeVmW,Vietnam International Commercial Joint Stock Bank,Y,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No
0013000001HeVxmAAF,0013000001HeVxm,Veterinary Practice Partners LLC,Y,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
0013000001HeWB5AAN,0013000001HeWB5,"Runwise (Heat Watch, Inc.)",Y,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
0013000001HeXKpAAN,0013000001HeXKp,Organigram,Y,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
0013000001HeZ53AAF,0013000001HeZ53,Dzineelements,Y,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes
0013000001HebdvAAB,0013000001Hebdv,The Drum,Y,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No
0013000001Hebw9AAB,0013000001Hebw9,Factor Energia SA,Y,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
0013000001HelZnAAJ,0013000001HelZn,"Opterra Energy Services, LLC",N,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
0013000001Hem1YAAR,0013000001Hem1Y,"Peloton Interactive, Inc.",Y,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No
0013000001HemqFAAR,0013000001HemqF,COMPAÑÍA DE DISTRIBUCIÓN INTEGRAL LOGISTA S.A.U.,Y,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
0013000001HenL3AAJ,0013000001HenL3,Insightec Ltd,Y,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes
0013000001Heo6xAAB,0013000001Heo6x,RW Baird - IB,Y,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
0013000001HeorjAAB,0013000001Heorj,Settlement Services International Limited,Y,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No
0013000001HepNuAAJ,0013000001HepNu,BOARD INTERNATIONAL SA,Y,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes
