ACCT_ID_18,CNTRY_COMBO_ID,GLOBAL_CO_COMBO_ID,ACCT_NM,PRODUCT_TYPE,TOTAL_NCR,FY24Q1,FY24Q2,FY24Q3,FY24Q4,FY25Q1,FY25Q2,FY25Q3,FY25Q4,FY26Q1,FY26Q2,FY26Q3,FY26Q4
0013000001L6SSzAAN,aBR3y0000004pgaGAA,aBR3y00000110ghGAA,CREXi,DataCloud,5.511910203,0,0,0,0,0,0,0,0.6544561835,1.870869938,0.1163667365,0.0400029297,2.830214415
0013000001L6SXLAA3,0013000001L6SXLAA3,0013000001L6SXLAA3,Cloud Riverdale,DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6SZCAA3,aBR3y000000527wGAA,aBR3y00000112nyGAA,WORLDING INC.,DataCloud,0.0000001816,0,0,0,0,0,0,0,0,0,0.0000001816,0,0
0013000001L6T17AAF,0013000001L6T17AAF,0013000001L6T17AAF,OILFIELD PRODUCTION CONSULTANTS (O P C) LTD (OEM),DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6TUWAA3,0013000001L6TUWAA3,aBRed000000vg1xGAA,Venture.co,DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6UVSAA3,0013000001L6UVSAA3,0013000001L6UVSAA3,Stone Door Group,DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6Ui3AAF,0013000001L6Ui3AAF,aBR0M000000br4aWAA,Quip Toothbrush,Agentforce,19151.56,0,0,0,0,0,0,0,0,8518.67,10632.89,0,0
0013000001L6Ui3AAF,0013000001L6Ui3AAF,aBR0M000000br4aWAA,Quip Toothbrush,DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6UpxAAF,aBRed00000088ejGAA,aBR3y0000010xcrGAA,The Mall Group,Agentforce,1.2,0,0,0,0,0,0,0,1.2,0,0,0,0
0013000001L6UpxAAF,aBRed00000088ejGAA,aBR3y0000010xcrGAA,The Mall Group,DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6VBaAAN,aBRed000000se25GAA,aBRed000000uBqPGAU,Hygitech,DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6W7PAAV,0013000001L6W7PAAV,0013000001L6W7PAAV,Provident Energy Management Inc.,DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6WOJAA3,0013000001L6WOJAA3,0013000001L6WOJAA3,OREGE,DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6WTOAA3,aBR3y000000Cej2GAC,aBR30000000KyqWGAS,Universal Robots A/S,DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6Wx7AAF,aBR3y000000buAkGAI,aBR3y00000112xSGAQ,The Handsfree Company LLC,DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6XAHAA3,0013000001L6XAHAA3,0013000001L6XAHAA3,Euroasfalt Spółka z o.o.,DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6XZVAA3,aBR3y00000052uvGAA,aBR3y000000LEb1GAG,BELLFACE INC.,Agentforce,531.1353838,0,0,0,0,0,0,0,0,0,0,0,531.1353838
0013000001L6XZVAA3,aBR3y00000052uvGAA,aBR3y000000LEb1GAG,BELLFACE INC.,DataCloud,32.41062703,0,0,0,0,0,0,0,0,0.0541117569,26.68272326,2.47132079,3.202471226
0013000001L6Y55AAF,aBRed000000w9khGAA,aBRed000000w5fIGAQ,"BEEDIGITAL AI, SAU",DataCloud,0.000442802,0,0,0,0,0,0,0,0,0.0004419417,0.0000003687,0.0000003687,0.0000001229
0013000001L6YD9AAN,aBRed000000GeG5GAK,aBRed000000Gr75GAC,"Operadora Factory, S.A. de C.V.",Agentforce,688.32,0,0,0,0,0,0,0,0,0,0,33.12,655.2
0013000001L6YD9AAN,aBRed000000GeG5GAK,aBRed000000Gr75GAC,"Operadora Factory, S.A. de C.V.",DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6YDEAA3,aBR3y000000h4JRGAY,aBR3y000000h58IGAQ,Shorts Travel Management,DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6YEyAAN,0013000001L6YEyAAN,0013000001L6YEyAAN,Sherwen Studios Limited,DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6YcZAAV,aBRed00000006obGAA,aBR3y000000h6DSGAY,Ather Energy Limited,DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6Yz4AAF,aBR0M000000CdJYWA0,aBR3y000000yaQKGAY,Motorcorp Distributors Limited (Jaguar Land Rover New Zealand),DataCloud,47617.16534,0,0,946.3070739,5496.211395,6391.270563,10585.78564,7682.151277,7746.856807,6115.247086,2055.312599,336.5002329,261.5226636
0013000001L6Yz4AAF,aBR0M000000CdJYWA0,aBR3y000000yaQKGAY,Motorcorp Distributors Limited (Jaguar Land Rover New Zealand),Other,0.0425172617,0,0,0.0005859889,0.0068703162,0.0280928341,0.0069681225,0,0,0,0,0,0
0013000001L6Yz9AAF,aBR3y0000004vHhGAI,aBR3y000000yEp2GAE,Openprise,Agentforce,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6Yz9AAF,aBR3y0000004vHhGAI,aBR3y000000yEp2GAE,Openprise,DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6ZG1AAN,aBRed0000004nqCGAQ,aBRed0000000B5DGAU,BFC Software,DataCloud,0.0009467215,0,0,0,0,0,0,0,0,0.0009464969,0.0000002246,0,0
0013000001L6aJXAAZ,aBR300000008ROHGA2,aBR3y000001109pGAA,Edenred SE (France),Agentforce,10834.30109,0,0,0,0,0,0,0,0,0,1642.395171,5451.974504,3739.931411
0013000001L6aJXAAZ,aBR300000008ROHGA2,aBR3y000001109pGAA,Edenred SE (France),DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6aOwAAJ,aBRed000001SDDCGA4,aBR3y00000110yrGAA,Creaghan McConnell Group,DataCloud,0.6516855367,0,0,0,0,0,0,0.0000328066,0.1856711841,0.3644975449,0.0955778933,0.0051703637,0.0007357441
0013000001L6aihAAB,aBR3y000000HKqqGAG,aBR3y0000008bFWGAY,Kolmac Clinic LLC,DataCloud,0,0,0,0,0,0,0,0,0,0,0,0,0
0013000001L6bGPAAZ,aBR3y000000TUGlGAO,aBR3y000000TWNZGA4,Ledger,DataCloud,0.1076029768,0,0,0,0,0,0,0,0,0.0221800295,0.0239982636,0.0253636596,0.0360610241
