ACCT_ID_18,ACCT_NM,COMBO_COMPANY_ID_18,CY_AFDC_AOV,CY_DC_AOV,CY_DC_C360_AOV,CY_DC_MKT_AOV,CY_DC_C360_AO_AOV,CY_DC_MKT_AO_AOV,CY_DC_CDP_AOV,Legacy CDP
0013000000hIeYmAAK,Consumer Financial Protection  Bureau (CFPB)-Mosaic Org-CFPB1,aBR30000000L7t8GAC,122640,122640,2640,0,120000,0,0,Other
0010M00001Yu5U3QAJ,ASRock Industrial Computer Corporation,0010M00001Yu5U3QAJ,3016.5289,301.6529,301.6529,0,0,0,0,Other
0013y00001fc351AAA,Fareshare (Data Cloud Sandbox),aBR3y0000000P6mGAE,32552.9101,32552.9101,0,0,0,0,32552.9101,Legacy CDP
0013000000I3dRGAAZ,Laboratoires de Biologie Vegetale Yves Rocher SA,aBR30000000XZP9GAO,36979.9382,36979.9382,0,36979.9382,0,0,0,Other
0013y00001dk9nyAAA,"La Aurora, USA, LLC",0013y00001dk9nyAAA,1275,1275,1275,0,0,0,0,Other
0010M00001QkS4oQAF,"Apollo Management Holdings, L.P.",aBR0M000000Cbt0WAC,149701,137201,136891,310,0,0,0,Other
0013y00001dy0fvAAA,SupplyCore,aBR3y000000HNWWGA4,130776,130776,128776,2000,0,0,0,Other
001ed00000GF2oNAAT,ANIKA INDUSTRIES PRIVATE LIMITED (Org1),aBR3y000000H9h5GAC,73916.1659,73916.1659,0,73916.1659,0,0,0,Other
0010M00001WkkdIQAR,Summit Health Management LLC (AfterCare),aBR3y000000H8F5GAK,563841.3426,545841.3426,0,542601.3426,0,3240,0,Other
0013000000ro2dsAAA,Oldcastle,aBR300000004DRbGAM,91005.6597,91005.6597,12593.0997,42000,34800,1612.56,0,Other
0010M00001WZ9UEQA1,Stanford GSB Seed,aBR30000000L7rNGAS,1276,1276,1276,0,0,0,0,Other
001ed000006F4KnAAK,RAYMOND LIFESTYLE LIMITED,aBR3y0000000Ol6GAE,6071.8764,714.3384,0,0,714.3384,0,0,Other
0013000000JjZdCAAV,MSTS (dba TreviPay),aBR3y000000HL0UGAW,92427.0076,92427.0076,92427.0076,0,0,0,0,Other
0010M00001UVVMEQA5,S&P Global Indices,aBR300000004DJlGAM,3007.2701,3007.2701,799.2701,0,2208,0,0,Other
0013y00001dVwNSAA0,Carlini Gomme s.r.l.,0013y00001dVwNSAA0,21425.1671,21425.1671,0,21425.1671,0,0,0,Other
0013y00001f9WR9AAM,Sofigate Demo Org,aBR3y000000HDGTGA4,3572.4056,1151.4495,1151.4495,0,0,0,0,Other
0010M00001QqcS2QAJ,Drogal Farmaceutica Ltda,0010M00001QqcS2QAJ,25624.391,25624.391,0,22103.4823,0,3520.9087,0,Other
0013000000C3qNZAAZ,Kaufman Hall,aBR3y0000004pDOGAY,60000,60000,60000,0,0,0,0,Other
00130000016iGItAAM,AmaWaterways,aBR3y000000TUpJGAW,354778.3102,354778.3102,0,351178.3102,0,3600,0,Other
0013000000M2S1wAAF,Girtz Industries Inc,0013000000M2S1wAAF,37800,37800,0,37800,0,0,0,Other
0010M00001QlJ62QAF,Specialty Food Association,aBR3y0000004qTUGAY,20000,20000,0,20000,0,0,0,Other
0013000001CCacpAAD,City of Coral Gables,0013000001CCacpAAD,11000,2000,2000,0,0,0,0,Other
0013000001CBNarAAH,Smyk sp. z o.o.,aBR3y000000XpE6GAK,110308.6945,110308.6945,0,109783.3802,0,525.3143,0,Other
0013000001GUnmNAAT,Kreyenhop & Kluge GmbH & Co. KG,0013000001GUnmNAAT,7251.5261,7251.5261,7251.5261,0,0,0,0,Other
